"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"139"	24340	"GRAND RAPIDS-WYOMING, MI"	59627	59600
"140"	24500	"GREAT FALLS, MT"	53540	59400
"141"	24540	"GREELEY, CO"	64996	66300
"142"	24580	"GREEN BAY, WI"	64441	65500
"143"	24660	"GREENSBORO-HIGH POINT, NC"	55362	54500
"144"	24780	"GREENVILLE, NC"	52519	57600
"145"	24860	"GREENVILLE-MAULDIN-EASLEY, SC"	56013	58000
"146"	25020	"GUAYAMA, PR"	19275	22600
"147"	25060	"GULFPORT-BILOXI, MS"	52856	54700
"148"	25180	"HAGERSTOWN-MARTINSBURG, MD-WV"	63854	66900
"149"	25260	"HANFORD-CORCORAN, CA"	53498	50400
"150"	25420	"HARRISBURG-CARLISLE, PA"	69389	70800
"151"	25500	"HARRISONBURG, VA"	57078	59400
"152"	25540	"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT"	82299	85500
"153"	25620	"HATTIESBURG, MS"	50693	53200
"154"	25860	"HICKORY-LENOIR-MORGANTON, NC"	50289	51100
"155"	25980	"HINESVILLE-FORT STEWART, GA"	46764	42600
"156"	26100	"HOLLAND-GRAND HAVEN, MI"	65474	65100
"157"	26180	"HONOLULU, HI"	81370	86300
"158"	26300	"HOT SPRINGS, AR"	45745	46700
"159"	26380	"HOUMA-BAYOU CANE-THIBODAUX, LA"	56853	64400
"160"	26420	"HOUSTON-SUGAR LAND-BAYTOWN, TX"	64179	66200
"161"	26580	"HUNTINGTON-ASHLAND, WV-KY-OH"	48544	50800
"162"	26620	"HUNTSVILLE, AL"	67829	71500
"163"	26820	"IDAHO FALLS, ID"	57767	58500
"164"	26900	"INDIANAPOLIS-CARMEL, IN"	66347	65100
"165"	26980	"IOWA CITY, IA"	71168	74600
"166"	27060	"ITHACA, NY"	72231	82000
"167"	27100	"JACKSON, MI"	56314	56500
"168"	27140	"JACKSON, MS"	55765	55600
"169"	27180	"JACKSON, TN"	51121	50900
"170"	27260	"JACKSONVILLE, FL"	63927	63200
"171"	27340	"JACKSONVILLE, NC"	48380	48800
"172"	27500	"JANESVILLE, WI"	61165	60700
"173"	27620	"JEFFERSON CITY, MO"	62891	65700
"174"	27740	"JOHNSON CITY, TN"	47017	48800
"175"	27780	"JOHNSTOWN, PA"	50900	56200
"176"	27860	"JONESBORO, AR"	49796	45800
"177"	27900	"JOPLIN, MO"	46381	53700
"178"	28020	"KALAMAZOO-PORTAGE, MI"	59481	62300
"179"	28100	"KANKAKEE-BRADLEY, IL"	59998	61000
"180"	28140	"KANSAS CITY, MO-KS"	69313	71200
"181"	28420	"KENNEWICK-PASCO-RICHLAND, WA"	63929	67800
"182"	28660	"KILLEEN-TEMPLE-FORT HOOD, TX"	54774	59900
"183"	28700	"KINGSPORT-BRISTOL-BRISTOL, TN-VA"	48038	48700
"184"	28740	"KINGSTON, NY"	70513	69800
"185"	28940	"KNOXVILLE, TN"	59310	60700
"186"	29020	"KOKOMO, IN"	56626	60100
"187"	29100	"LA CROSSE, WI-MN"	65427	69200
"188"	29140	"LAFAYETTE, IN"	60301	62700
"189"	29180	"LAFAYETTE, LA"	58962	62100
"190"	29340	"LAKE CHARLES, LA"	54491	53900
"191"	29404	"LAKE COUNTY-KENOSHA COUNTY, IL-WI"	86241	86400
"192"	29420	"LAKE HAVASU CITY-KINGMAN, AZ"	47530	45300
"193"	29460	"LAKELAND-WINTER HAVEN, FL"	51395	51000
"194"	29540	"LANCASTER, PA"	64672	65600
"195"	29620	"LANSING-EAST LANSING, MI"	64523	66000
"196"	29700	"LAREDO, TX"	38521	40300
"197"	29740	"LAS CRUCES, NM"	43184	45000
"198"	29820	"LAS VEGAS-PARADISE, NV"	63888	63100
"199"	29940	"LAWRENCE, KS"	68282	70800
"200"	30020	"LAWTON, OK"	50448	54800
"201"	30140	"LEBANON, PA"	62174	64700
"202"	30300	"LEWISTON, ID-WA"	54262	57700
"203"	30340	"LEWISTON-AUBURN, ME"	55045	52700
"204"	30460	"LEXINGTON-FAYETTE, KY"	63242	63800
"205"	30620	"LIMA, OH"	55549	54200
"206"	30700	"LINCOLN, NE"	66851	67900
"207"	30780	"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR"	58911	62100
"208"	30860	"LOGAN, UT-ID"	54558	55700
"209"	30980	"LONGVIEW, TX"	54648	54200
"210"	31020	"LONGVIEW, WA"	55002	53400
"211"	31084	"LOS ANGELES-LONG BEACH-GLENDALE, CA"	61622	61900
"212"	31140	"LOUISVILLE/JEFFERSON COUNTY, KY-IN"	59921	60400
"213"	31180	"LUBBOCK, TX"	54144	56700
"214"	31340	"LYNCHBURG, VA"	56509	57900
"215"	31420	"MACON, GA"	53330	54400
"216"	31460	"MADERA-CHOWCHILLA, CA"	51115	54500
"217"	31540	"MADISON, WI"	78201	80900
"218"	31700	"MANCHESTER-NASHUA, NH"	81794	84700
"219"	31740	"MANHATTAN, KS"	56451	61100
"220"	31860	"MANKATO-NORTH MANKATO, MN"	66038	69600
"221"	31900	"MANSFIELD, OH"	54637	54600
"222"	32420	"MAYAGNEZ, PR"	18996	20300
"223"	32580	"MCALLEN-EDINBURG-MISSION, TX"	34106	38500
"224"	32780	"MEDFORD, OR"	53739	52200
"225"	32820	"MEMPHIS, TN-MS-AR"	56557	58000
"226"	32900	"MERCED, CA"	47924	50200
"227"	33124	"MIAMI-MIAMI BEACH-KENDALL, FL"	50065	49000
"228"	33140	"MICHIGAN CITY-LA PORTE, IN"	56679	59500
"229"	33260	"MIDLAND, TX"	64913	65100
"230"	33340	"MILWAUKEE-WAUKESHA-WEST ALLIS, WI"	68787	70200
"231"	33460	"MINNEAPOLIS-ST. PAUL-BLOOMINGTON, MN-WI"	80925	82300
"232"	33540	"MISSOULA, MT"	58302	64000
"233"	33660	"MOBILE, AL"	49900	52400
"234"	33700	"MODESTO, CA"	57433	56600
"235"	33740	"MONROE, LA"	49645	51400
"236"	33780	"MONROE, MI"	66549	63700
"237"	33860	"MONTGOMERY, AL"	58143	61500
"238"	34060	"MORGANTOWN, WV"	56147	64400
"239"	34100	"MORRISTOWN, TN"	46660	47200
"240"	34580	"MOUNT VERNON-ANACORTES, WA"	63468	67800
"241"	34620	"MUNCIE, IN"	51394	53800
"242"	34740	"MUSKEGON-NORTON SHORES, MI"	50101	48200
"243"	34820	"MYRTLE BEACH-NORTH MYRTLE BEACH-CONWAY, SC"	51608	51400
"244"	34900	"NAPA, CA"	80030	80600
"245"	34940	"NAPLES-MARCO ISLAND, FL"	68556	65700
"246"	34980	"NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN, TN"	63006	62300
"247"	35004	"NASSAU-SUFFOLK, NY"	101543	105900
"248"	35084	"NEWARK-UNION, NJ-PA"	87598	90100
"249"	35300	"NEW HAVEN-MILFORD, CT"	77379	77800
"250"	35380	"NEW ORLEANS-METAIRIE-KENNER, LA"	59246	60300
"251"	35644	"NEW YORK-WHITE PLAINS-WAYNE, NY-NJ"	64171	66000
"252"	35660	"NILES-BENTON HARBOR, MI"	54751	54500
"253"	35840	"NORTH PORT-BRADENTON-SARASOTA, FL"	60626	59900
"254"	35980	"NORWICH-NEW LONDON, CT"	80425	81900
"255"	36084	"OAKLAND-FREMONT-HAYWARD, CA"	88024	89200
"256"	36100	"OCALA, FL"	47614	45800
"257"	36140	"OCEAN CITY, NJ"	69978	76600
"258"	36220	"ODESSA, TX"	54395	52300
"259"	36260	"OGDEN-CLEARFIELD, UT"	68024	70800
"260"	36420	"OKLAHOMA CITY, OK"	58775	60000
"261"	36500	"OLYMPIA, WA"	71833	77300
"262"	36540	"OMAHA-COUNCIL BLUFFS, NE-IA"	69538	72700
"263"	36740	"ORLANDO-KISSIMMEE-SANFORD, FL"	58474	58500
"264"	36780	"OSHKOSH-NEENAH, WI"	65646	65800
"265"	36980	"OWENSBORO, KY"	54406	53800
"266"	37100	"OXNARD-THOUSAND OAKS-VENTURA, CA"	84364	86700
"267"	37340	"PALM BAY-MELBOURNE-TITUSVILLE, FL"	60842	61800
"268"	37380	"PALM COAST, FL"	54754	53100
"269"	37460	"PANAMA CITY-LYNN HAVEN-PANAMA CITY BEACH, FL"	56877	57800
"270"	37620	"PARKERSBURG-MARIETTA-VIENNA, WV-OH"	52293	57400
"271"	37700	"PASCAGOULA, MS"	54832	54900
"272"	37764	"PEABODY, MA"	81173	83500
"273"	37860	"PENSACOLA-FERRY PASS-BRENT, FL"	56758	57700
"274"	37900	"PEORIA, IL"	66038	66600
"275"	37964	"PHILADELPHIA, PA"	74808	76400
"276"	38060	"PHOENIX-MESA-GLENDALE, AZ"	64408	62200
"277"	38220	"PINE BLUFF, AR"	45357	41600
"278"	38300	"PITTSBURGH, PA"	62376	65100
"279"	38340	"PITTSFIELD, MA"	64783	56400
"280"	38540	"POCATELLO, ID"	53918	57000
"281"	38660	"PONCE, PR"	19544	21200
"282"	38860	"PORTLAND-SOUTH PORTLAND-BIDDEFORD, ME"	67971	72200
"283"	38900	"PORTLAND-VANCOUVER-HILLSBORO, OR-WA"	68924	68300
"284"	38940	"PORT ST. LUCIE, FL"	56832	53300
"285"	39100	"POUGHKEEPSIE-NEWBURGH-MIDDLETOWN, NY"	82963	85800
"286"	39140	"PRESCOTT, AZ"	53499	50400
"287"	39300	"PROVIDENCE-NEW BEDFORD-FALL RIVER, RI-MA"	70496	71100
"288"	39340	"PROVO-OREM, UT"	62738	61900
"289"	39380	"PUEBLO, CO"	50503	51400
"290"	39460	"PUNTA GORDA, FL"	52533	53100
"291"	39540	"RACINE, WI"	65200	66100
"292"	39580	"RALEIGH-CARY, NC"	74783	75300
"293"	39660	"RAPID CITY, SD"	56777	64000
"294"	39740	"READING, PA"	63724	66400
"295"	39820	"REDDING, CA"	55456	54400
"296"	39900	"RENO-SPARKS, NV"	67350	65200
"297"	40060	"RICHMOND, VA"	71292	73900
"298"	40140	"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA"	63176	62600
"299"	40220	"ROANOKE, VA"	60547	63600
"300"	40340	"ROCHESTER, MN"	76764	80500
"301"	40380	"ROCHESTER, NY"	64834	66600
"302"	40420	"ROCKFORD, IL"	61291	61100
"303"	40484	"ROCKINGHAM COUNTY-STRAFFORD COUNTY, NH"	85547	87000
"304"	40580	"ROCKY MOUNT, NC"	49612	55300
"305"	40660	"ROME, GA"	49310	50300
"306"	40900	"SACRAMENTO--ARDEN-ARCADE--ROSEVILLE, CA"	71816	70900
"307"	40980	"SAGINAW-SAGINAW TOWNSHIP NORTH, MI"	53171	55500
"308"	41060	"ST. CLOUD, MN"	64993	65800
"309"	41100	"ST. GEORGE, UT"	54315	56800
"310"	41140	"ST. JOSEPH, MO-KS"	54339	59300
"311"	41180	"ST. LOUIS, MO-IL"	67013	69200
"312"	41420	"SALEM, OR"	56016	55000
"313"	41500	"SALINAS, CA"	63372	63100
"314"	41540	"SALISBURY, MD"	59612	59300
"315"	41620	"SALT LAKE CITY, UT"	68010	70300
"316"	41660	"SAN ANGELO, TX"	53682	55300
"317"	41700	"SAN ANTONIO-NEW BRAUNFELS, TX"	58222	61300
"318"	41740	"SAN DIEGO-CARLSBAD-SAN MARCOS, CA"	73560	72300
"319"	41780	"SANDUSKY, OH"	61247	56700
"320"	41884	"SAN FRANCISCO-SAN MATEO-REDWOOD CITY, CA"	97831	101200
"321"	41900	"SAN GERMAN-CABO ROJO, PR"	18140	18400
"322"	41940	"SAN JOSE-SUNNYVALE-SANTA CLARA, CA"	99794	101300
"323"	41980	"SAN JUAN-CAGUAS-GUAYNABO, PR"	24224	25000
"324"	42020	"SAN LUIS OBISPO-PASO ROBLES, CA"	72054	70900
"325"	42044	"SANTA ANA-ANAHEIM-IRVINE, CA"	83735	84100
"326"	42060	"SANTA BARBARA-SANTA MARIA-GOLETA, CA"	69190	71000
"327"	42100	"SANTA CRUZ-WATSONVILLE, CA"	80264	73800
"328"	42140	"SANTA FE, NM"	64041	62000
"329"	42220	"SANTA ROSA-PETALUMA, CA"	76715	74900
"330"	42340	"SAVANNAH, GA"	57354	60000
"331"	42540	"SCRANTON--WILKES-BARRE, PA"	56045	59200
"332"	42644	"SEATTLE-BELLEVUE-EVERETT, WA"	83852	86700
"333"	42680	"SEBASTIAN-VERO BEACH, FL"	57477	60500
"334"	43100	"SHEBOYGAN, WI"	65301	64600
"335"	43300	"SHERMAN-DENISON, TX"	57623	61700
"336"	43340	"SHREVEPORT-BOSSIER CITY, LA"	52827	55500
"337"	43580	"SIOUX CITY, IA-NE-SD"	56468	59700
"338"	43620	"SIOUX FALLS, SD"	66496	69800
"339"	43780	"SOUTH BEND-MISHAWAKA, IN-MI"	57040	58400
"340"	43900	"SPARTANBURG, SC"	53149	54700
"341"	44060	"SPOKANE, WA"	59999	62900
"342"	44100	"SPRINGFIELD, IL"	66823	67200
"343"	44140	"SPRINGFIELD, MA"	65772	66100
"344"	44180	"SPRINGFIELD, MO"	52463	53200
