"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"263"	35100	"NEW BERN, NC"	55158	51000
"264"	35300	"NEW HAVEN-MILFORD, CT"	80739	93500
"265"	35380	"NEW ORLEANS-METAIRIE, LA"	61124	63300
"266"	35614	"NEW YORK-JERSEY CITY-WHITE PLAINS, NY-NJ"	72047	73700
"267"	35660	"NILES-BENTON HARBOR, MI"	57640	61000
"268"	35840	"NORTH PORT-SARASOTA-BRADENTON, FL"	62814	65500
"269"	35980	"NORWICH-NEW LONDON, CT"	82349	82100
"270"	36084	"OAKLAND-HAYWARD-BERKELEY, CA"	93822	97400
"271"	36100	"OCALA, FL"	48128	51500
"272"	36140	"OCEAN CITY, NJ"	74509	73400
"273"	36220	"ODESSA, TX"	64450	72400
"274"	36260	"OGDEN-CLEARFIELD, UT"	71742	76600
"275"	36420	"OKLAHOMA CITY, OK"	64058	67300
"276"	36500	"OLYMPIA-TUMWATER, WA"	74420	76300
"277"	36540	"OMAHA-COUNCIL BLUFFS, NE-IA"	73632	75000
"278"	36740	"ORLANDO-KISSIMMEE-SANFORD, FL"	57304	58400
"279"	36780	"OSHKOSH-NEENAH, WI"	67477	67700
"280"	36980	"OWENSBORO, KY"	58106	54100
"281"	37100	"OXNARD-THOUSAND OAKS-VENTURA, CA"	86766	85600
"282"	37340	"PALM BAY-MELBOURNE-TITUSVILLE, FL"	60408	61700
"283"	37460	"PANAMA CITY, FL"	56988	56700
"284"	37620	"PARKERSBURG-VIENNA, WV"	51552	57000
"285"	37860	"PENSACOLA-FERRY PASS-BRENT, FL"	60705	62000
"286"	37900	"PEORIA, IL"	69329	72500
"287"	37964	"PHILADELPHIA, PA"	56411	57400
"288"	38060	"PHOENIX-MESA-SCOTTSDALE, AZ"	63686	66200
"289"	38220	"PINE BLUFF, AR"	47667	47700
"290"	38300	"PITTSBURGH, PA"	69624	72600
"291"	38340	"PITTSFIELD, MA"	66604	67200
"292"	38540	"POCATELLO, ID"	57327	56800
"293"	38660	"PONCE, PR"	19046	22300
"294"	38860	"PORTLAND-SOUTH PORTLAND, ME"	74701	83400
"295"	38900	"PORTLAND-VANCOUVER-HILLSBORO, OR-WA"	73089	74700
"296"	38940	"PORT ST. LUCIE, FL"	56570	58000
"297"	39140	"PRESCOTT, AZ"	54475	54800
"298"	39300	"PROVIDENCE-WARWICK, RI-MA"	73950	72100
"299"	39340	"PROVO-OREM, UT"	67248	69200
"300"	39380	"PUEBLO, CO"	51986	50500
"301"	39460	"PUNTA GORDA, FL"	54478	54500
"302"	39540	"RACINE, WI"	68728	67300
"303"	39580	"RALEIGH, NC"	78057	80200
"304"	39660	"RAPID CITY, SD"	63776	63600
"305"	39740	"READING, PA"	67696	68900
"306"	39820	"REDDING, CA"	55749	61800
"307"	39900	"RENO, NV"	65722	68100
"308"	40060	"RICHMOND, VA"	75126	78700
"309"	40140	"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA"	61507	63200
"310"	40220	"ROANOKE, VA"	61791	66900
"311"	40340	"ROCHESTER, MN"	81036	88600
"312"	40380	"ROCHESTER, NY"	67757	68600
"313"	40420	"ROCKFORD, IL"	60048	60700
"314"	40484	"ROCKINGHAM COUNTY-STRAFFORD COUNTY, NH"	90150	93800
"315"	40580	"ROCKY MOUNT, NC"	48812	49100
"316"	40660	"ROME, GA"	51379	51900
