"cbsa"	"md"	"csa"	"cbsa_name"	"md_name"	"csa_name"	"is_metro"	"fips"	"component_name"	"is_central"
"71"	11540	NA	118	"Appleton, WI"	NA	"Appleton-Oshkosh-Neenah, WI"	TRUE	55015	"Calumet County"	TRUE
"72"	11540	NA	118	"Appleton, WI"	NA	"Appleton-Oshkosh-Neenah, WI"	TRUE	55087	"Outagamie County"	TRUE
"73"	11580	NA	NA	"Arcadia, FL"	NA	NA	FALSE	12027	"DeSoto County"	TRUE
"74"	11620	NA	NA	"Ardmore, OK"	NA	NA	FALSE	40019	"Carter County"	TRUE
"75"	11620	NA	NA	"Ardmore, OK"	NA	NA	FALSE	40085	"Love County"	FALSE
"76"	11660	NA	NA	"Arkadelphia, AR"	NA	NA	FALSE	5019	"Clark County"	TRUE
"77"	11700	NA	120	"Asheville, NC"	NA	"Asheville-Brevard, NC"	TRUE	37021	"Buncombe County"	TRUE
"78"	11700	NA	120	"Asheville, NC"	NA	"Asheville-Brevard, NC"	TRUE	37087	"Haywood County"	TRUE
"79"	11700	NA	120	"Asheville, NC"	NA	"Asheville-Brevard, NC"	TRUE	37089	"Henderson County"	TRUE
"80"	11700	NA	120	"Asheville, NC"	NA	"Asheville-Brevard, NC"	TRUE	37115	"Madison County"	FALSE
"81"	11740	NA	NA	"Ashland, OH"	NA	NA	FALSE	39005	"Ashland County"	TRUE
"82"	11780	NA	184	"Ashtabula, OH"	NA	"Cleveland-Akron-Elyria, OH"	FALSE	39007	"Ashtabula County"	TRUE
"83"	11820	NA	NA	"Astoria, OR"	NA	NA	FALSE	41007	"Clatsop County"	TRUE
"84"	11860	NA	312	"Atchison, KS"	NA	"Kansas City-Overland Park-Kansas City, MO-KS"	FALSE	20005	"Atchison County"	TRUE
"85"	11900	NA	NA	"Athens, OH"	NA	NA	FALSE	39009	"Athens County"	TRUE
"86"	11940	NA	174	"Athens, TN"	NA	"Chattanooga-Cleveland-Athens, TN-GA"	FALSE	47107	"McMinn County"	TRUE
"87"	11980	NA	206	"Athens, TX"	NA	"Dallas-Fort Worth, TX"	FALSE	48213	"Henderson County"	TRUE
"88"	12020	NA	NA	"Athens-Clarke County, GA"	NA	NA	TRUE	13059	"Clarke County"	TRUE
"89"	12020	NA	NA	"Athens-Clarke County, GA"	NA	NA	TRUE	13195	"Madison County"	FALSE
"90"	12020	NA	NA	"Athens-Clarke County, GA"	NA	NA	TRUE	13219	"Oconee County"	TRUE
"91"	12020	NA	NA	"Athens-Clarke County, GA"	NA	NA	TRUE	13221	"Oglethorpe County"	FALSE
"92"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13013	"Barrow County"	FALSE
"93"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13015	"Bartow County"	FALSE
"94"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13035	"Butts County"	FALSE
"95"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13045	"Carroll County"	FALSE
"96"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13057	"Cherokee County"	TRUE
"97"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13063	"Clayton County"	TRUE
"98"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13067	"Cobb County"	TRUE
"99"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13077	"Coweta County"	TRUE
"100"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13085	"Dawson County"	FALSE
"101"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13089	"DeKalb County"	TRUE
"102"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13097	"Douglas County"	TRUE
"103"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13113	"Fayette County"	TRUE
"104"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13117	"Forsyth County"	TRUE
"105"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13121	"Fulton County"	TRUE
"106"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13135	"Gwinnett County"	TRUE
"107"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13143	"Haralson County"	FALSE
"108"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13149	"Heard County"	FALSE
"109"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13151	"Henry County"	TRUE
"110"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13159	"Jasper County"	FALSE
"111"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13171	"Lamar County"	FALSE
"112"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13199	"Meriwether County"	FALSE
"113"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13217	"Newton County"	TRUE
"114"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13223	"Paulding County"	TRUE
"115"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13227	"Pickens County"	FALSE
"116"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13231	"Pike County"	FALSE
"117"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13247	"Rockdale County"	TRUE
"118"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13255	"Spalding County"	TRUE
"119"	12060	NA	122	"Atlanta-Sandy Springs-Marietta, GA"	NA	"Atlanta-Sandy Springs-Gainesville, GA-AL"	TRUE	13297	"Walton County"	FALSE
"120"	12100	NA	NA	"Atlantic City-Hammonton, NJ"	NA	NA	TRUE	34001	"Atlantic County"	TRUE
"121"	12140	NA	258	"Auburn, IN"	NA	"Fort Wayne-Huntington-Auburn, IN"	FALSE	18033	"DeKalb County"	TRUE
"122"	12180	NA	532	"Auburn, NY"	NA	"Syracuse-Auburn, NY"	FALSE	36011	"Cayuga County"	TRUE
"123"	12220	NA	194	"Auburn-Opelika, AL"	NA	"Columbus-Auburn-Opelika, GA-AL"	TRUE	1081	"Lee County"	TRUE
"124"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	13033	"Burke County"	FALSE
"125"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	13073	"Columbia County"	TRUE
"126"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	13189	"McDuffie County"	FALSE
"127"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	13245	"Richmond County"	TRUE
"128"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	45003	"Aiken County"	TRUE
"129"	12260	NA	NA	"Augusta-Richmond County, GA-SC"	NA	NA	TRUE	45037	"Edgefield County"	FALSE
"130"	12300	NA	NA	"Augusta-Waterville, ME"	NA	NA	FALSE	23011	"Kennebec County"	TRUE
"131"	12380	NA	NA	"Austin, MN"	NA	NA	FALSE	27099	"Mower County"	TRUE
"132"	12420	NA	NA	"Austin-Round Rock, TX"	NA	NA	TRUE	48021	"Bastrop County"	FALSE
"133"	12420	NA	NA	"Austin-Round Rock, TX"	NA	NA	TRUE	48055	"Caldwell County"	FALSE
"134"	12420	NA	NA	"Austin-Round Rock, TX"	NA	NA	TRUE	48209	"Hays County"	FALSE
"135"	12420	NA	NA	"Austin-Round Rock, TX"	NA	NA	TRUE	48453	"Travis County"	TRUE
