"necta"	"nectad"	"cnecta"	"necta_name"	"nectad_name"	"cnecta_name"	"is_metro"	"fips_mcd"	"component_name"
"97"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5001776750	"Washington town"
"98"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5001784175	"Williamstown town"
"99"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002303175	"Barre city"
"100"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002303250	"Barre town"
"101"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002305650	"Berlin town"
"102"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002311125	"Cabot town"
"103"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002311350	"Calais town"
"104"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002321925	"East Montpelier town"
"105"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002343600	"Marshfield town"
"106"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002344500	"Middlesex town"
"107"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002346000	"Montpelier city"
"108"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002350275	"Northfield town"
"109"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002355825	"Plainfield town"
"110"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002385525	"Woodbury town"
"111"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5002386125	"Worcester town"
"112"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000304825	"Bennington town"
"113"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000327962	"Glastenbury town"
"114"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000357025	"Pownal town"
"115"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000363175	"Searsburg town"
"116"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000363550	"Shaftsbury town"
"117"	71350	NA	NA	"Bennington, VT"	NA	NA	FALSE	5000385675	"Woodford town"
"118"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300705140	"Berlin city"
"119"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300719300	"Dummer town"
"120"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300730260	"Gorham town"
"121"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300747860	"Milan town"
"122"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300763860	"Randolph town"
"123"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300768980	"Shelburne town"
"124"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300773060	"Stark town"
"125"	71500	NA	NA	"Berlin, NH"	NA	NA	FALSE	3300774500	"Success township"
"126"	71650	78254	715	"Boston-Cambridge-Quincy, MA-NH"	"Taunton-Norton-Raynham, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500505280	"Berkley town"
"127"	71650	78254	715	"Boston-Cambridge-Quincy, MA-NH"	"Taunton-Norton-Raynham, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500516950	"Dighton town"
"128"	71650	72104	715	"Boston-Cambridge-Quincy, MA-NH"	"Brockton-Bridgewater-Easton, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500520100	"Easton town"
"129"	71650	71654	715	"Boston-Cambridge-Quincy, MA-NH"	"Boston-Cambridge-Quincy, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500538225	"Mansfield town"
"130"	71650	78254	715	"Boston-Cambridge-Quincy, MA-NH"	"Taunton-Norton-Raynham, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500549970	"Norton town"
"131"	71650	78254	715	"Boston-Cambridge-Quincy, MA-NH"	"Taunton-Norton-Raynham, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500556060	"Raynham town"
"132"	71650	78254	715	"Boston-Cambridge-Quincy, MA-NH"	"Taunton-Norton-Raynham, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500569170	"Taunton city"
"133"	71650	73604	715	"Boston-Cambridge-Quincy, MA-NH"	"Haverhill-North Andover-Amesbury, MA-NH"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500901185	"Amesbury town"
"134"	71650	71654	715	"Boston-Cambridge-Quincy, MA-NH"	"Boston-Cambridge-Quincy, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500901465	"Andover town"
"135"	71650	71654	715	"Boston-Cambridge-Quincy, MA-NH"	"Boston-Cambridge-Quincy, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500905595	"Beverly city"
"136"	71650	71654	715	"Boston-Cambridge-Quincy, MA-NH"	"Boston-Cambridge-Quincy, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500907420	"Boxford town"
"137"	71650	76524	715	"Boston-Cambridge-Quincy, MA-NH"	"Peabody, MA"	"Boston-Worcester-Manchester, MA-NH-CT-ME"	TRUE	2500916250	"Danvers town"
